run_id,case_id,category,expected_relation_or_outcome,observed_relation_or_outcome,passed,sha256_a,sha256_b,canonical_utf8_a,canonical_utf8_b,error_code,notes
cmpb-canonicalisation-001,JCS-001,rfc8785-section-vector,exact-byte-equality,equal,true,2d5e01a318d0f0879ab568c4be289c8b1f64ef8921a53c6277d5e069978baacb,2d5e01a318d0f0879ab568c4be289c8b1f64ef8921a53c6277d5e069978baacb,"{""literals"":[null,true,false],""numbers"":[333333333.3333333,1e+30,4.5,0.002,1e-27],""string"":""€$\u000f\nA'B\""\\\\\""/""}","{""literals"":[null,true,false],""numbers"":[333333333.3333333,1e+30,4.5,0.002,1e-27],""string"":""€$\u000f\nA'B\""\\\\\""/""}",,RFC 8785 Section 3.2.2 canonical serialisation sample
cmpb-canonicalisation-001,JCS-NUM-01,rfc8785-number-vector,exact-byte-equality,equal,true,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,0,0,,RFC 8785 Appendix B: zero; bits=0000000000000000
cmpb-canonicalisation-001,JCS-NUM-02,rfc8785-number-vector,exact-byte-equality,equal,true,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,0,0,,RFC 8785 Appendix B: minus-zero; bits=8000000000000000
cmpb-canonicalisation-001,JCS-NUM-03,rfc8785-number-vector,exact-byte-equality,equal,true,c46e7ca1be4c8734f373a56530787288fa2058d73d07855e9247e949f811a42a,c46e7ca1be4c8734f373a56530787288fa2058d73d07855e9247e949f811a42a,5e-324,5e-324,,RFC 8785 Appendix B: minimum-positive; bits=0000000000000001
cmpb-canonicalisation-001,JCS-NUM-04,rfc8785-number-vector,exact-byte-equality,equal,true,046f4049d09944fcb2efbf2ddb0ea8f05e0204591d6d02c9106efc88190fa7f9,046f4049d09944fcb2efbf2ddb0ea8f05e0204591d6d02c9106efc88190fa7f9,-5e-324,-5e-324,,RFC 8785 Appendix B: minimum-negative; bits=8000000000000001
cmpb-canonicalisation-001,JCS-NUM-05,rfc8785-number-vector,exact-byte-equality,equal,true,c2784e1abd6317452708f3fbf9641c16b959561bc621a1d408c23a20aa2cb585,c2784e1abd6317452708f3fbf9641c16b959561bc621a1d408c23a20aa2cb585,1.7976931348623157e+308,1.7976931348623157e+308,,RFC 8785 Appendix B: maximum-positive; bits=7fefffffffffffff
cmpb-canonicalisation-001,JCS-NUM-06,rfc8785-number-vector,exact-byte-equality,equal,true,f0347276b171ff0c36491c912285a2833de7313d1a103a4b1be0274bfe7c021f,f0347276b171ff0c36491c912285a2833de7313d1a103a4b1be0274bfe7c021f,-1.7976931348623157e+308,-1.7976931348623157e+308,,RFC 8785 Appendix B: maximum-negative; bits=ffefffffffffffff
cmpb-canonicalisation-001,JCS-NUM-07,rfc8785-number-vector,exact-byte-equality,equal,true,c681da39d7273a6a24c15c9cac3a75526ff2ecf8ba4ee60346a0c70c8163bdb2,c681da39d7273a6a24c15c9cac3a75526ff2ecf8ba4ee60346a0c70c8163bdb2,9007199254740992,9007199254740992,,RFC 8785 Appendix B: two-to-the-53; bits=4340000000000000
cmpb-canonicalisation-001,JCS-NUM-08,rfc8785-number-vector,exact-byte-equality,equal,true,83e109bfd7fb4984b47a46f363627c18dbbd7e57e36b05a04cd162d304df72e9,83e109bfd7fb4984b47a46f363627c18dbbd7e57e36b05a04cd162d304df72e9,-9007199254740992,-9007199254740992,,RFC 8785 Appendix B: minus-two-to-the-53; bits=c340000000000000
cmpb-canonicalisation-001,JCS-NUM-09,rfc8785-number-vector,exact-byte-equality,equal,true,7933ef1b34c194c7a327ef424e54282dd2872bc7bda27812f9edf7882ca340c0,7933ef1b34c194c7a327ef424e54282dd2872bc7bda27812f9edf7882ca340c0,295147905179352830000,295147905179352830000,,RFC 8785 Appendix B: approximately-two-to-the-68; bits=4430000000000000
